0, ,
1,BEI,Beige
2,BLK,Black
3,BLU,Blue
4,BRO,Brown
5,BUR,Burgundy
6,GLD,Gold
7,GRN,Green
8,GRY,Gray
9,ORG,Orange
10,PNK,Pink
11,PUR,Purple
12,RED,Red
13,SIL,Silver
14,TAN,Tan
15,WHI,White
16,YEL,Yellow
2000,MAR,Maroon
2001,PLM,PLUM
2002,TEA,Teal
